WORDS,FREQ
0,2.0
000,3.0
1,3.0
10,16.0
12,1.0
16,2.0
2,53.0
20,2.0
200,3.0
2010,1.0
2015,4.0
2016,6.0
2017,2.0
2018,4.0
2019,2.0
2020,2.0
203,4.0
281,4.0
33,6.0
40,2.0
4th,2.0
5,86.0
55,2.0
5th,2.0
6,6.0
7,4.0
74,4.0
75007,2.0
75013,2.0
87,2.0
8th,4.0
<<<<<<< HEAD,0.0
=======,0.0
>>>>>>> f5d77ca6bf9ee142e8625d0da5f5140497ddd45d,0.0
aap,1.0
ability,17.0
able,1.0
academic,10.0
accomplishment,2.0
account,3.0
acquire,2.0
across,4.0
actively,1.0
activity,4.0
actor,4.0
actuarial,4.0
actuary,4.0
adapt,1.0
adequately,12.0
aditya,1.0
administration,12.0
administrator,12.0
advance,2.0
advantage,2.0
affective,2.0
agile,2.0
ago,30.0
algorithm,4.0
algorithmic,4.0
allow,10.0
almost,50.0
already,2.0
also,27.0
alternative,1.0
always,20.0
among,4.0
analysis,4.0
analytical,4.0
anatomy,2.0
angela,9.0
annually,3.0
anomaly,2.0
answer,6.0
anticipate,1.0
apart,2.0
api,1.0
app,1.0
appeal,1.0
application,17.0
apply,7.0
appreciate,1.0
appropriate,2.0
apps,16.0
april,2.0
art,2.0
article,5.0
artistry,4.0
ask,5.0
aspect,1.0
asset,4.0
assistant,4.0
assured,1.0
attend,2.0
attention,6.0
august,2.0
automation,3.0
autonomous,18.0
available,4.0
aware,2.0
away,51.0
bachelor,4.0
back,1.0
bad,3.0
bajpai,1.0
band,4.0
bank,30.0
barrault,2.0
base,7.0
basic,2.0
basically,50.0
bastard,1.0
bastardhello,1.0
bdd,1.0
beating,1.0
become,6.0
begin,12.0
beginning,2.0
belief,4.0
believe,10.0
benefit,2.0
best,16.0
beyond,4.0
big,4.0
birthday,156.0
blog,4.0
bring,12.0
bro,3.0
broad,4.0
brother,6.0
budget,12.0
build,35.0
building,1.0
bullet,2.0
business,7.0
busy,1.0
button,83.0
c,2.0
call,7.0
camille,4.0
camp,4.0
car,2.0
career,42.0
case,8.0
center,2.0
centre,12.0
ceo,2.0
ch,2.0
challenge,5.0
challenging,4.0
chance,4.0
change,1.0
charge,18.0
choose,2.0
chut,2.0
city,4.0
clarification,2.0
class,70.0
classroom,8.0
clear,20.0
clearly,1.0
client,4.0
clinical,2.0
closely,4.0
cluster,2.0
cnn,4.0
colleague,1.0
com,6.0
combine,10.0
come,1.0
comfortable,1.0
commitment,1.0
committee,2.0
common,12.0
communicate,1.0
communication,12.0
company,14.0
competition,2.0
competitive,5.0
competitiveness,4.0
complaint,1.0
complete,57.0
computer,14.0
computing,2.0
conception,4.0
concise,2.0
conclude,18.0
condition,1.0
